id_mutation;date_mutation;numero_disposition;nature_mutation;valeur_fonciere;adresse_numero;adresse_suffixe;adresse_nom_voie;adresse_code_voie;code_postal;code_commune;nom_commune;code_departement;ancien_code_commune;ancien_nom_commune;id_parcelle;ancien_id_parcelle;numero_volume;lot1_numero;lot1_surface_carrez;lot2_numero;lot2_surface_carrez;lot3_numero;lot3_surface_carrez;lot4_numero;lot4_surface_carrez;lot5_numero;lot5_surface_carrez;nombre_lots;code_type_local;type_local;surface_reelle_bati;nombre_pieces_principales;code_nature_culture;nature_culture;code_nature_culture_speciale;nature_culture_speciale;surface_terrain;longitude;latitude;section_prefixe
"2022-331978";"2022-06-29";"1";"Vente";"380000.0";"46.0";"None";"RUE RACINE";"3470";"69100";"69266";"Villeurbanne";"69";"None";"None";"69266000BN0117";"None";"None";"119";"94.3";"77";"nan";"None";"nan";"None";"nan";"None";"nan";"2";"2";"Appartement";"93.0";"4.0";"None";"None";"None";"None";"nan";"4.877551";"45.766574";"000BN"
"2022-331978";"2022-06-29";"1";"Vente";"380000.0";"46.0";"None";"RUE RACINE";"3470";"69100";"69266";"Villeurbanne";"69";"None";"None";"69266000BN0117";"None";"None";"119";"94.3";"77";"nan";"None";"nan";"None";"nan";"None";"nan";"2";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"4.877551";"45.766574";"000BN"
"2022-331978";"2022-06-29";"1";"Vente";"380000.0";"46.0";"None";"RUE RACINE";"3470";"69100";"69266";"Villeurbanne";"69";"None";"None";"69266000BN0117";"None";"None";"119";"94.3";"77";"nan";"None";"nan";"None";"nan";"None";"nan";"2";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"4.877551";"45.766574";"000BN"
"2022-331978";"2022-06-29";"1";"Vente";"380000.0";"48.0";"B";"RUE RACINE";"3470";"69100";"69266";"Villeurbanne";"69";"None";"None";"69266000BN0117";"None";"None";"293";"nan";"None";"nan";"None";"nan";"None";"nan";"None";"nan";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"4.877551";"45.766574";"000BN"
"2022-331983";"2022-06-22";"1";"Vente";"221100.0";"68.0";"None";"RUE ANATOLE FRANCE";"0150";"69100";"69266";"Villeurbanne";"69";"None";"None";"69266000BN0093";"None";"None";"20";"nan";"27";"51.63";"None";"nan";"None";"nan";"None";"nan";"2";"2";"Appartement";"52.0";"2.0";"None";"None";"None";"None";"nan";"4.875193";"45.7673";"000BN"
"2022-332052";"2022-06-22";"1";"Vente";"240000.0";"64.0";"B";"RUE ANATOLE FRANCE";"0150";"69100";"69266";"Villeurbanne";"69";"None";"None";"69266000BN0289";"None";"None";"6";"nan";"None";"nan";"None";"nan";"None";"nan";"None";"nan";"1";"2";"Appartement";"71.0";"2.0";"None";"None";"None";"None";"nan";"nan";"nan";"000BN"
"2022-331747";"2022-06-22";"1";"Vente";"16000.0";"90.0";"None";"RUE ANATOLE FRANCE";"0150";"69100";"69266";"Villeurbanne";"69";"None";"None";"69266000BN0107";"None";"None";"7";"nan";"None";"nan";"None";"nan";"None";"nan";"None";"nan";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"4.877682";"45.76765";"000BN"
"2022-331983";"2022-06-22";"1";"Vente";"221100.0";"68.0";"None";"RUE ANATOLE FRANCE";"0150";"69100";"69266";"Villeurbanne";"69";"None";"None";"69266000BN0093";"None";"None";"54";"nan";"None";"nan";"None";"nan";"None";"nan";"None";"nan";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"4.875193";"45.7673";"000BN"
"2022-331983";"2022-06-22";"1";"Vente";"221100.0";"68.0";"None";"RUE ANATOLE FRANCE";"0150";"69100";"69266";"Villeurbanne";"69";"None";"None";"69266000BN0093";"None";"None";"20";"nan";"27";"51.63";"None";"nan";"None";"nan";"None";"nan";"2";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"4.875193";"45.7673";"000BN"
"2022-332052";"2022-06-22";"1";"Vente";"240000.0";"64.0";"B";"RUE ANATOLE FRANCE";"0150";"69100";"69266";"Villeurbanne";"69";"None";"None";"69266000BN0289";"None";"None";"31";"nan";"None";"nan";"None";"nan";"None";"nan";"None";"nan";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"nan";"nan";"000BN"
"2022-331692";"2022-06-14";"1";"Vente";"297650.0";"60.0";"None";"RUE ANATOLE FRANCE";"0150";"69100";"69266";"Villeurbanne";"69";"None";"None";"69266000BN0089";"None";"None";"66";"64.21";"None";"nan";"None";"nan";"None";"nan";"None";"nan";"1";"2";"Appartement";"64.0";"3.0";"None";"None";"None";"None";"nan";"4.874596";"45.76728";"000BN"
"2022-331692";"2022-06-14";"1";"Vente";"297650.0";"62.0";"B";"RUE ANATOLE FRANCE";"0150";"69100";"69266";"Villeurbanne";"69";"None";"None";"69266000BN0089";"None";"None";"118";"nan";"None";"nan";"None";"nan";"None";"nan";"None";"nan";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"4.874596";"45.76728";"000BN"
"2022-331640";"2022-06-10";"1";"Vente";"102900.0";"6.0";"None";"RUE ANATOLE FRANCE";"0150";"69100";"69266";"Villeurbanne";"69";"None";"None";"69266000BN0004";"None";"None";"44";"18.05";"None";"nan";"None";"nan";"None";"nan";"None";"nan";"1";"2";"Appartement";"18.0";"1.0";"None";"None";"None";"None";"nan";"4.868617";"45.76632";"000BN"
"2022-332082";"2022-06-10";"1";"Vente";"66500.0";"90.0";"None";"RUE ANATOLE FRANCE";"0150";"69100";"69266";"Villeurbanne";"69";"None";"None";"69266000BN0107";"None";"None";"87";"18.53";"None";"nan";"None";"nan";"None";"nan";"None";"nan";"1";"2";"Appartement";"18.0";"1.0";"None";"None";"None";"None";"nan";"4.877682";"45.76765";"000BN"
"2022-331809";"2022-05-30";"1";"Vente";"205000.0";"57.0";"None";"CRS DE LA REPUBLIQUE";"3505";"69100";"69266";"Villeurbanne";"69";"None";"None";"69266000BN0086";"None";"None";"23";"nan";"85";"49.22";"None";"nan";"None";"nan";"None";"nan";"2";"2";"Appartement";"50.0";"2.0";"None";"None";"None";"None";"nan";"4.874367";"45.766901";"000BN"
"2022-331809";"2022-05-30";"1";"Vente";"205000.0";"57.0";"None";"CRS DE LA REPUBLIQUE";"3505";"69100";"69266";"Villeurbanne";"69";"None";"None";"69266000BN0086";"None";"None";"175";"nan";"None";"nan";"None";"nan";"None";"nan";"None";"nan";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"4.874367";"45.766901";"000BN"
"2022-331809";"2022-05-30";"1";"Vente";"205000.0";"57.0";"None";"CRS DE LA REPUBLIQUE";"3505";"69100";"69266";"Villeurbanne";"69";"None";"None";"69266000BN0086";"None";"None";"23";"nan";"85";"49.22";"None";"nan";"None";"nan";"None";"nan";"2";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"4.874367";"45.766901";"000BN"
"2022-331322";"2022-05-24";"1";"Vente";"60000.0";"90.0";"None";"RUE ANATOLE FRANCE";"0150";"69100";"69266";"Villeurbanne";"69";"None";"None";"69266000BN0107";"None";"None";"54";"16.34";"None";"nan";"None";"nan";"None";"nan";"None";"nan";"1";"2";"Appartement";"16.0";"1.0";"None";"None";"None";"None";"nan";"4.877682";"45.76765";"000BN"
"2022-331534";"2022-05-24";"1";"Vente";"290000.0";"89.0";"None";"RUE HIPPOLYTE KAHN";"2020";"69100";"69266";"Villeurbanne";"69";"None";"None";"69266000BN0118";"None";"None";"597";"nan";"678";"70.1";"None";"nan";"None";"nan";"None";"nan";"2";"2";"Appartement";"70.0";"3.0";"None";"None";"None";"None";"nan";"4.876943";"45.766307";"000BN"
"2022-331534";"2022-05-24";"1";"Vente";"290000.0";"89.0";"None";"RUE HIPPOLYTE KAHN";"2020";"69100";"69266";"Villeurbanne";"69";"None";"None";"69266000BN0118";"None";"None";"597";"nan";"678";"70.1";"None";"nan";"None";"nan";"None";"nan";"2";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"4.876943";"45.766307";"000BN"
"2022-331534";"2022-05-24";"1";"Vente";"290000.0";"58.0";"None";"RUE RACINE";"3470";"69100";"69266";"Villeurbanne";"69";"None";"None";"69266000BN0118";"None";"None";"1081";"nan";"None";"nan";"None";"nan";"None";"nan";"None";"nan";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"4.876943";"45.766307";"000BN"
"2022-331147";"2022-05-17";"1";"Vente";"250000.0";"42.0";"None";"RUE RACINE";"3470";"69100";"69266";"Villeurbanne";"69";"None";"None";"69266000BN0113";"None";"None";"19";"nan";"7";"nan";"None";"nan";"None";"nan";"None";"nan";"2";"2";"Appartement";"68.0";"4.0";"None";"None";"None";"None";"nan";"4.877403";"45.767102";"000BN"
"2022-331147";"2022-05-17";"1";"Vente";"250000.0";"42.0";"None";"RUE RACINE";"3470";"69100";"69266";"Villeurbanne";"69";"None";"None";"69266000BN0113";"None";"None";"19";"nan";"7";"nan";"None";"nan";"None";"nan";"None";"nan";"2";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"4.877403";"45.767102";"000BN"
