id_mutation;date_mutation;numero_disposition;nature_mutation;valeur_fonciere;adresse_numero;adresse_suffixe;adresse_nom_voie;adresse_code_voie;code_postal;code_commune;nom_commune;code_departement;ancien_code_commune;ancien_nom_commune;id_parcelle;ancien_id_parcelle;numero_volume;lot1_numero;lot1_surface_carrez;lot2_numero;lot2_surface_carrez;lot3_numero;lot3_surface_carrez;lot4_numero;lot4_surface_carrez;lot5_numero;lot5_surface_carrez;nombre_lots;code_type_local;type_local;surface_reelle_bati;nombre_pieces_principales;code_nature_culture;nature_culture;code_nature_culture_speciale;nature_culture_speciale;surface_terrain;longitude;latitude;section_prefixe
"2022-332272";"2022-06-22";"1";"Vente";"167500.0";"35.0";"None";"RUE CHATEAU GAILLARD";"0900";"69100";"69266";"Villeurbanne";"69";"None";"None";"69266000BA0274";"None";"None";"141";"52.12";"151";"nan";"None";"nan";"None";"None";"None";"None";"2";"2";"Appartement";"52.0";"3.0";"None";"None";"None";"None";"nan";"4.884958";"45.778103";"000BA"
"2022-332272";"2022-06-22";"1";"Vente";"167500.0";"35.0";"None";"RUE CHATEAU GAILLARD";"0900";"69100";"69266";"Villeurbanne";"69";"None";"None";"69266000BA0274";"None";"None";"141";"52.12";"151";"nan";"None";"nan";"None";"None";"None";"None";"2";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"4.884958";"45.778103";"000BA"
"2022-331860";"2022-06-21";"1";"Vente";"152000.0";"49.0";"None";"RUE CHATEAU GAILLARD";"0900";"69100";"69266";"Villeurbanne";"69";"None";"None";"69266000BA0192";"None";"None";"1";"nan";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"2";"Appartement";"53.0";"3.0";"None";"None";"None";"None";"nan";"4.885721";"45.777595";"000BA"
"2022-331860";"2022-06-21";"1";"Vente";"152000.0";"49.0";"None";"RUE CHATEAU GAILLARD";"0900";"69100";"69266";"Villeurbanne";"69";"None";"None";"69266000BA0192";"None";"None";"1";"nan";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"4.885721";"45.777595";"000BA"
"2022-331382";"2022-06-09";"1";"Vente";"380000.0";"15.0";"None";"RUE RENE";"3490";"69100";"69266";"Villeurbanne";"69";"None";"None";"69266000BA0187";"None";"None";"None";"nan";"None";"nan";"None";"nan";"None";"None";"None";"None";"0";"2";"Appartement";"43.0";"3.0";"S";"sols";"None";"None";"316.0";"4.886732";"45.777882";"000BA"
"2022-331382";"2022-06-09";"1";"Vente";"380000.0";"15.0";"None";"RUE RENE";"3490";"69100";"69266";"Villeurbanne";"69";"None";"None";"69266000BA0187";"None";"None";"None";"nan";"None";"nan";"None";"nan";"None";"None";"None";"None";"0";"2";"Appartement";"95.0";"4.0";"S";"sols";"None";"None";"316.0";"4.886732";"45.777882";"000BA"
"2022-331382";"2022-06-09";"1";"Vente";"380000.0";"15.0";"None";"RUE RENE";"3490";"69100";"69266";"Villeurbanne";"69";"None";"None";"69266000BA0187";"None";"None";"None";"nan";"None";"nan";"None";"nan";"None";"None";"None";"None";"0";"3";"Dépendance";"nan";"0.0";"S";"sols";"None";"None";"316.0";"4.886732";"45.777882";"000BA"
"2022-331382";"2022-06-09";"1";"Vente";"380000.0";"15.0";"None";"RUE RENE";"3490";"69100";"69266";"Villeurbanne";"69";"None";"None";"69266000BA0187";"None";"None";"None";"nan";"None";"nan";"None";"nan";"None";"None";"None";"None";"0";"3";"Dépendance";"nan";"0.0";"S";"sols";"None";"None";"316.0";"4.886732";"45.777882";"000BA"
"2022-331382";"2022-06-09";"1";"Vente";"380000.0";"15.0";"None";"RUE RENE";"3490";"69100";"69266";"Villeurbanne";"69";"None";"None";"69266000BA0187";"None";"None";"None";"nan";"None";"nan";"None";"nan";"None";"None";"None";"None";"0";"3";"Dépendance";"nan";"0.0";"S";"sols";"None";"None";"316.0";"4.886732";"45.777882";"000BA"
"2022-331382";"2022-06-09";"1";"Vente";"380000.0";"15.0";"None";"RUE RENE";"3490";"69100";"69266";"Villeurbanne";"69";"None";"None";"69266000BA0187";"None";"None";"None";"nan";"None";"nan";"None";"nan";"None";"None";"None";"None";"0";"3";"Dépendance";"nan";"0.0";"S";"sols";"None";"None";"316.0";"4.886732";"45.777882";"000BA"
