id_mutation;date_mutation;numero_disposition;nature_mutation;valeur_fonciere;adresse_numero;adresse_suffixe;adresse_nom_voie;adresse_code_voie;code_postal;code_commune;nom_commune;code_departement;ancien_code_commune;ancien_nom_commune;id_parcelle;ancien_id_parcelle;numero_volume;lot1_numero;lot1_surface_carrez;lot2_numero;lot2_surface_carrez;lot3_numero;lot3_surface_carrez;lot4_numero;lot4_surface_carrez;lot5_numero;lot5_surface_carrez;nombre_lots;code_type_local;type_local;surface_reelle_bati;nombre_pieces_principales;code_nature_culture;nature_culture;code_nature_culture_speciale;nature_culture_speciale;surface_terrain;longitude;latitude;section_prefixe
"2022-326281";"2022-06-23";"1";"Vente";"190000.0";"34.0";"None";"RUE DES NOYERS";"5092";"69005";"69385";"Lyon 5e Arrondissement";"69";"None";"None";"69385000BI0174";"None";"None";"33";"41.35";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"2";"Appartement";"42.0";"2.0";"None";"None";"None";"None";"nan";"4.783899";"45.752559";"000BI"
"2022-326281";"2022-06-23";"1";"Vente";"190000.0";"40.0";"None";"RUE DES NOYERS";"5092";"69005";"69385";"Lyon 5e Arrondissement";"69";"None";"None";"69385000BI0174";"None";"None";"149";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"4.783899";"45.752559";"000BI"
"2022-326725";"2022-06-21";"1";"Vente";"265000.0";"74.0";"None";"RUE PIERRE VALDO";"5530";"69005";"69385";"Lyon 5e Arrondissement";"69";"None";"None";"69385000BI0152";"None";"None";"26";"51.59";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"2";"Appartement";"51.0";"2.0";"None";"None";"None";"None";"nan";"4.788276";"45.751065";"000BI"
"2022-326725";"2022-06-21";"1";"Vente";"265000.0";"74.0";"None";"RUE PIERRE VALDO";"5530";"69005";"69385";"Lyon 5e Arrondissement";"69";"None";"None";"69385000BI0152";"None";"None";"114";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"4.788276";"45.751065";"000BI"
"2022-326077";"2022-06-17";"1";"Vente";"502000.0";"99.0";"None";"RUE JOLIOT CURIE";"3895";"69005";"69385";"Lyon 5e Arrondissement";"69";"None";"None";"69385000BI0161";"None";"None";"14";"nan";"54";"nan";"None";"None";"None";"None";"None";"None";"2";"2";"Appartement";"92.0";"4.0";"None";"None";"None";"None";"nan";"4.786137";"45.753954";"000BI"
"2022-326077";"2022-06-17";"1";"Vente";"502000.0";"99.0";"None";"RUE JOLIOT CURIE";"3895";"69005";"69385";"Lyon 5e Arrondissement";"69";"None";"None";"69385000BI0161";"None";"None";"14";"nan";"54";"nan";"None";"None";"None";"None";"None";"None";"2";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"4.786137";"45.753954";"000BI"
"2022-326077";"2022-06-17";"1";"Vente";"502000.0";"97.0";"None";"RUE JOLIOT CURIE";"3895";"69005";"69385";"Lyon 5e Arrondissement";"69";"None";"None";"69385000BI0161";"None";"None";"66";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"4.786137";"45.753954";"000BI"
"2022-325796";"2022-06-16";"1";"Vente";"325470.0";"30.0";"None";"RUE DES NOYERS";"5092";"69005";"69385";"Lyon 5e Arrondissement";"69";"None";"None";"69385000BI0182";"None";"None";"31";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"2";"Appartement";"72.0";"3.0";"None";"None";"None";"None";"nan";"4.78495";"45.752711";"000BI"
"2022-325796";"2022-06-16";"1";"Vente";"325470.0";"40.0";"None";"RUE DES NOYERS";"5092";"69005";"69385";"Lyon 5e Arrondissement";"69";"None";"None";"69385000BI0182";"None";"None";"73";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"4.78495";"45.752711";"000BI"
"2022-325969";"2022-06-14";"1";"Vente";"246000.0";"36.0";"None";"RUE DES NOYERS";"5092";"69005";"69385";"Lyon 5e Arrondissement";"69";"None";"None";"69385000BI0174";"None";"None";"52";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"2";"Appartement";"44.0";"2.0";"None";"None";"None";"None";"nan";"4.783899";"45.752559";"000BI"
"2022-325969";"2022-06-14";"1";"Vente";"246000.0";"40.0";"None";"RUE DES NOYERS";"5092";"69005";"69385";"Lyon 5e Arrondissement";"69";"None";"None";"69385000BI0174";"None";"None";"111";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"4.783899";"45.752559";"000BI"
"2022-324992";"2022-06-09";"1";"Vente";"184000.0";"53.0";"None";"RUE DE TOURVIELLE";"7072";"69005";"69385";"Lyon 5e Arrondissement";"69";"None";"None";"69385000BI0015";"None";"None";"64";"nan";"72";"46.11";"None";"None";"None";"None";"None";"None";"2";"2";"Appartement";"51.0";"2.0";"None";"None";"None";"None";"nan";"4.788256";"45.754233";"000BI"
"2022-326158";"2022-06-09";"1";"Vente";"165000.0";"81.0";"None";"RUE JOLIOT CURIE";"3895";"69005";"69385";"Lyon 5e Arrondissement";"69";"None";"None";"69385000BI0015";"None";"None";"102";"43.52";"83";"nan";"None";"None";"None";"None";"None";"None";"2";"2";"Appartement";"44.0";"2.0";"None";"None";"None";"None";"nan";"4.788256";"45.754233";"000BI"
"2022-324992";"2022-06-09";"1";"Vente";"184000.0";"53.0";"None";"RUE DE TOURVIELLE";"7072";"69005";"69385";"Lyon 5e Arrondissement";"69";"None";"None";"69385000BI0015";"None";"None";"64";"nan";"72";"46.11";"None";"None";"None";"None";"None";"None";"2";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"4.788256";"45.754233";"000BI"
"2022-326158";"2022-06-09";"1";"Vente";"165000.0";"81.0";"None";"RUE JOLIOT CURIE";"3895";"69005";"69385";"Lyon 5e Arrondissement";"69";"None";"None";"69385000BI0015";"None";"None";"102";"43.52";"83";"nan";"None";"None";"None";"None";"None";"None";"2";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"4.788256";"45.754233";"000BI"
"2022-327054";"2022-06-08";"1";"Vente";"145000.0";"95.0";"None";"RUE JOLIOT CURIE";"3895";"69005";"69385";"Lyon 5e Arrondissement";"69";"None";"None";"69385000BI0227";"None";"None";"1";"42.51";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"2";"Appartement";"41.0";"2.0";"None";"None";"None";"None";"nan";"4.786501";"45.754203";"000BI"
"2022-327054";"2022-06-08";"1";"Vente";"145000.0";"95.0";"None";"RUE JOLIOT CURIE";"3895";"69005";"69385";"Lyon 5e Arrondissement";"69";"None";"None";"69385000BI0227";"None";"None";"25";"12.5";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"4.786501";"45.754203";"000BI"
"2022-325054";"2022-06-01";"1";"Vente";"271460.0";"14.0";"None";"RUE DES NOYERS";"5092";"69005";"69385";"Lyon 5e Arrondissement";"69";"None";"None";"69385000BI0108";"None";"None";"28";"52.03";"63";"nan";"None";"None";"None";"None";"None";"None";"2";"2";"Appartement";"51.0";"2.0";"None";"None";"None";"None";"nan";"4.786975";"45.753042";"000BI"
"2022-325054";"2022-06-01";"1";"Vente";"271460.0";"14.0";"None";"RUE DES NOYERS";"5092";"69005";"69385";"Lyon 5e Arrondissement";"69";"None";"None";"69385000BI0108";"None";"None";"77";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"4.786975";"45.753042";"000BI"
"2022-325054";"2022-06-01";"1";"Vente";"271460.0";"14.0";"None";"RUE DES NOYERS";"5092";"69005";"69385";"Lyon 5e Arrondissement";"69";"None";"None";"69385000BI0108";"None";"None";"28";"52.03";"63";"nan";"None";"None";"None";"None";"None";"None";"2";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"4.786975";"45.753042";"000BI"
"2022-325693";"2022-05-31";"2";"Vente";"460000.0";"96.0";"None";"RUE PIERRE VALDO";"5530";"69005";"69385";"Lyon 5e Arrondissement";"69";"None";"None";"69385000BI0224";"None";"None";"None";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"S";"sols";"None";"None";"230.0";"4.786012";"45.750572";"000BI"
"2022-324581";"2022-05-30";"1";"Vente";"322780.0";"19.0";"None";"RUE DES NOYERS";"5092";"69005";"69385";"Lyon 5e Arrondissement";"69";"None";"None";"69385000BI0095";"None";"None";"195";"nan";"45";"93.58";"None";"None";"None";"None";"None";"None";"2";"2";"Appartement";"88.0";"5.0";"None";"None";"None";"None";"nan";"4.78332";"45.750748";"000BI"
"2022-324581";"2022-05-30";"1";"Vente";"322780.0";"19.0";"None";"RUE DES NOYERS";"5092";"69005";"69385";"Lyon 5e Arrondissement";"69";"None";"None";"69385000BI0095";"None";"None";"195";"nan";"45";"93.58";"None";"None";"None";"None";"None";"None";"2";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"4.78332";"45.750748";"000BI"
"2022-324371";"2022-05-25";"1";"Vente";"330000.0";"30.0";"None";"RUE DES NOYERS";"5092";"69005";"69385";"Lyon 5e Arrondissement";"69";"None";"None";"69385000BI0182";"None";"None";"36";"72.07";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"2";"Appartement";"71.0";"3.0";"None";"None";"None";"None";"nan";"4.78495";"45.752711";"000BI"
"2022-324371";"2022-05-25";"1";"Vente";"330000.0";"32.0";"None";"RUE DES NOYERS";"5092";"69005";"69385";"Lyon 5e Arrondissement";"69";"None";"None";"69385000BI0182";"None";"None";"74";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"4.78495";"45.752711";"000BI"
"2022-324924";"2022-05-18";"1";"Vente";"424850.0";"28.0";"None";"RUE DES NOYERS";"5092";"69005";"69385";"Lyon 5e Arrondissement";"69";"None";"None";"69385000BI0182";"None";"None";"17";"83.0";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"2";"Appartement";"83.0";"4.0";"None";"None";"None";"None";"nan";"4.78495";"45.752711";"000BI"
"2022-324924";"2022-05-18";"1";"Vente";"424850.0";"40.0";"None";"RUE DES NOYERS";"5092";"69005";"69385";"Lyon 5e Arrondissement";"69";"None";"None";"69385000BI0182";"None";"None";"56";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"4.78495";"45.752711";"000BI"
"2022-324924";"2022-05-18";"1";"Vente";"424850.0";"40.0";"None";"RUE DES NOYERS";"5092";"69005";"69385";"Lyon 5e Arrondissement";"69";"None";"None";"69385000BI0182";"None";"None";"94";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"4.78495";"45.752711";"000BI"
