id_mutation;date_mutation;numero_disposition;nature_mutation;valeur_fonciere;adresse_numero;adresse_suffixe;adresse_nom_voie;adresse_code_voie;code_postal;code_commune;nom_commune;code_departement;ancien_code_commune;ancien_nom_commune;id_parcelle;ancien_id_parcelle;numero_volume;lot1_numero;lot1_surface_carrez;lot2_numero;lot2_surface_carrez;lot3_numero;lot3_surface_carrez;lot4_numero;lot4_surface_carrez;lot5_numero;lot5_surface_carrez;nombre_lots;code_type_local;type_local;surface_reelle_bati;nombre_pieces_principales;code_nature_culture;nature_culture;code_nature_culture_speciale;nature_culture_speciale;surface_terrain;longitude;latitude;section_prefixe
"2022-332071";"2022-06-22";"1";"Vente";"86850.0";"197";"None";"RUE MARCEL MERIEUX";"4510";"69007";"69387";"Lyon 7e Arrondissement";"69";"None";"None";"69387000BX0019";"None";"None";"157";"19.43";"None";"nan";"None";"None";"None";"None";"None";"nan";"1";"2";"Appartement";"18.0";"1.0";"None";"None";"None";"None";"nan";"4.830371";"45.733334";"000BX"
"2022-331946";"2022-06-13";"1";"Vente";"328400.0";"31";"None";"RUE MATHIEU VARILLE";"4659";"69007";"69387";"Lyon 7e Arrondissement";"69";"None";"None";"69387000BX0008";"None";"None";"424";"78.5";"458";"nan";"None";"None";"None";"None";"None";"nan";"2";"2";"Appartement";"75.0";"3.0";"None";"None";"None";"None";"nan";"4.829109";"45.733047";"000BX"
"2022-331946";"2022-06-13";"1";"Vente";"328400.0";"31";"None";"RUE MATHIEU VARILLE";"4659";"69007";"69387";"Lyon 7e Arrondissement";"69";"None";"None";"69387000BX0008";"None";"None";"424";"78.5";"458";"nan";"None";"None";"None";"None";"None";"nan";"2";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"4.829109";"45.733047";"000BX"
"2022-331946";"2022-06-13";"1";"Vente";"328400.0";"31";"None";"RUE MATHIEU VARILLE";"4659";"69007";"69387";"Lyon 7e Arrondissement";"69";"None";"None";"69387000BX0008";"None";"None";"680";"nan";"None";"nan";"None";"None";"None";"None";"None";"nan";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"4.829109";"45.733047";"000BX"
"2022-331946";"2022-06-13";"1";"Vente";"328400.0";"31";"None";"RUE MATHIEU VARILLE";"4659";"69007";"69387";"Lyon 7e Arrondissement";"69";"None";"None";"69387000BX0008";"None";"None";"424";"78.5";"458";"nan";"None";"None";"None";"None";"None";"nan";"2";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"4.829109";"45.733047";"000BX"
"2022-331848";"2022-06-08";"1";"Vente";"78500.0";"197";"None";"RUE MARCEL MERIEUX";"4510";"69007";"69387";"Lyon 7e Arrondissement";"69";"None";"None";"69387000BX0019";"None";"None";"251";"20.05";"None";"nan";"None";"None";"None";"None";"None";"nan";"1";"2";"Appartement";"19.0";"1.0";"None";"None";"None";"None";"nan";"4.830371";"45.733334";"000BX"
"2022-331059";"2022-05-23";"1";"Vente";"212670.0";"108";"None";"RUE JEAN VALLIER";"3830";"69007";"69387";"Lyon 7e Arrondissement";"69";"None";"None";"69387000BX0095";"None";"None";"193";"48.41";"None";"nan";"None";"None";"None";"None";"None";"nan";"1";"2";"Appartement";"49.0";"2.0";"None";"None";"None";"None";"nan";"4.83783";"45.732118";"000BX"
"2022-331059";"2022-05-23";"1";"Vente";"212670.0";"108";"None";"RUE JEAN VALLIER";"3830";"69007";"69387";"Lyon 7e Arrondissement";"69";"None";"None";"69387000BX0095";"None";"None";"11";"nan";"None";"nan";"None";"None";"None";"None";"None";"nan";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"4.83783";"45.732118";"000BX"
"2022-331303";"2022-05-20";"1";"Vente";"233000.0";"142";"None";"RUE DE GERLAND";"3210";"69007";"69387";"Lyon 7e Arrondissement";"69";"None";"None";"69387000BX0063";"None";"None";"19";"nan";"20";"nan";"8";"None";"9";"None";"None";"nan";"4";"2";"Appartement";"65.0";"3.0";"None";"None";"None";"None";"nan";"4.838788";"45.732544";"000BX"
"2022-331303";"2022-05-20";"1";"Vente";"233000.0";"142";"None";"RUE DE GERLAND";"3210";"69007";"69387";"Lyon 7e Arrondissement";"69";"None";"None";"69387000BX0063";"None";"None";"19";"nan";"20";"nan";"8";"None";"9";"None";"None";"nan";"4";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"4.838788";"45.732544";"000BX"
